formula,Tc,tc_source,dataset,pressure_gpa,lambda,wlog,debye_temp,dos_ef
Ta,7.639509141414565,dft,jarvis_3d,,0.7572,164.9922,,
Al2Nb6,8.956445797801175,dft,jarvis_3d,,3.6413,45.1237,,
B2Sc,0.6100573822106736,dft,jarvis_3d,,0.3011,630.176,,
Nb3O3,3.5934152180066476,dft,jarvis_3d,,0.4618,322.0491,,
Sn2,0.020680353935292592,dft,jarvis_3d,,0.254,108.2536,,
B2Cr,2.0515570228780096,dft,jarvis_3d,,7.7071,8.6351,,
B2Nb,13.82460630446489,dft,jarvis_3d,,0.7002,352.9657,,
NTi,14.619343426870724,dft,jarvis_3d,,0.6957,378.7285,,
B2Mn,7.670296906398985,dft,jarvis_3d,,3.1767,40.6536,,
V,18.25703088070881,dft,jarvis_3d,,0.9587,260.2104,,
Si2V6,17.632942260132562,dft,jarvis_3d,,0.9922,238.7945,,
Nb6Sn2,6.325494739105512,dft,jarvis_3d,,2.9256,34.6964,,
NZr,9.735513975848821,dft,jarvis_3d,,0.6035,359.4432,,
Ge2Nb6,8.532425844879993,dft,jarvis_3d,,3.5997,43.1594,,
NNb,11.985718774529426,dft,jarvis_3d,,3.3558,62.1901,,
B2Mg,32.69089224607844,dft,jarvis_3d,,0.6959,846.3383,,
B6Y,5.140066257310903,dft,jarvis_3d,,0.6454,159.215,,
B2Ca,30.571242967833722,dft,jarvis_3d,,0.8679,511.6526,,
B2Mn,6.3716978754133935,dft,jarvis_3d,,3.7476,31.7887,,
Al,1.599474453033944,dft,jarvis_3d,,0.3928,298.0701,,
Nb,10.723349113267881,dft,jarvis_3d,,0.7741,221.5674,,
Pb,5.368996065282887,dft,jarvis_3d,,1.1006,63.0747,,
Cl2Rb,0.002553063171212492,dft,jarvis_3d,,0.2273,54.9297,,
AlCl2,2.59667900858458,dft,jarvis_3d,,1.8267,18.6003,,
B2Li,16.42799344051992,dft,jarvis_3d,,2.1934,104.3624,,
I2Li,2.6205933073357888,dft,jarvis_3d,,5.8844,11.5888,,
C2Sn,5.80963449060954,dft,jarvis_3d,,1.839,41.414,,
Cl2Hf,1.026980440351812,dft,jarvis_3d,,0.4641,90.2397,,
BeBr2,2.1101564642256996,dft,jarvis_3d,,2.3294,12.9502,,
Br2Pb,3.261792661458677,dft,jarvis_3d,,1.8728,22.9522,,
Ag2Li,2.4559423800845835e-06,dft,jarvis_3d,,0.1615,153.2892,,
F2Li,9.901865600201855,dft,jarvis_3d,,10.507,39.9547,,
AsP2,11.215859170693133,dft,jarvis_3d,,2.4379,67.1545,,
LiS2,8.313305979929718,dft,jarvis_3d,,1.8872,58.1845,,
Hg2Na,1.6475227978578384,dft,jarvis_3d,,0.6157,57.6296,,
Be2Zr,13.61797280613589,dft,jarvis_3d,,0.959,193.9995,,
FeN,9.8103090881816,dft,jarvis_3d,,0.5783,408.4282,,
B2W,9.230533786943342,dft,jarvis_3d,,5.0049,42.3555,,
AsLiMn,0.012928309638976171,dft,jarvis_3d,,0.2298,238.1658,,
FeSeV,6.116722098010435,dft,jarvis_3d,,0.6499,186.2184,,
CrIr,2.023907867425527,dft,jarvis_3d,,0.4183,277.64,,
BO,10.760469668447,dft,jarvis_3d,,0.5224,614.6959,,
FS,10.952508625587908,dft,jarvis_3d,,1.7886,79.6753,,
AlB,1.8523170745269206,dft,jarvis_3d,,0.464,162.9002,,
NTi,7.896002539778086,dft,jarvis_3d,,1.9983,53.1636,,
FN,7.01301945935632,dft,jarvis_3d,,0.6322,228.9142,,
IrLiY,2.695695604023412,dft,jarvis_3d,,0.8423,47.5385,,
MoN,5.219604875161372,dft,jarvis_3d,,3.2085,27.5555,,
CCa,5.237238118279711,dft,jarvis_3d,,0.8544,90.0642,,
ClPSr,1.5817918836082827,dft,jarvis_3d,,3.3252,8.2359,,
IV,7.343131012204479,dft,jarvis_3d,,2.6245,42.3482,,
BeV,7.501160675573327,dft,jarvis_3d,,3.1013,40.1448,,
BrV,2.651208294071016,dft,jarvis_3d,,9.6998,10.8015,,
FeV,3.146388597102905,dft,jarvis_3d,,6.3204,13.7144,,
OsV,14.15961900588853,dft,jarvis_3d,,1.0299,181.8298,,
TeV,11.336374143683491,dft,jarvis_3d,,0.9796,156.432,,
VY,7.285551665938251,dft,jarvis_3d,,1.7805,53.1787,,
MnRh,8.636097319191999,dft,jarvis_3d,,1.2518,86.9768,,
Sc2,1.004402381323307,dft,jarvis_3d,,0.383,213.5681,,
CSc,3.9317204915307284,dft,jarvis_3d,,0.4239,507.428,,
Mn,22.90009558838419,dft,jarvis_3d,,1.2505,230.9,,
NbRu,4.585169036760567,dft,jarvis_3d,,3.6253,23.1359,,
MoN,33.47022368342787,dft,jarvis_3d,,1.3665,307.3108,,
FeSi2,1.4564909284030277e-07,dft,jarvis_3d,,0.1484,375.8206,,
CrH,10.682442187413654,dft,jarvis_3d,,0.6671,305.1709,,
CV,28.09053401874162,dft,jarvis_3d,,2.3251,172.5711,,
RuV,20.255119548750272,dft,jarvis_3d,,2.0469,134.2709,,
NV,5.101744032382238,dft,jarvis_3d,,8.1392,21.2932,,
Mn,22.89828034331856,dft,jarvis_3d,,1.2504,230.9022,,
CV2,0.3835618679861968,dft,jarvis_3d,,0.3021,385.7909,,
FeN,10.8741638060961,dft,jarvis_3d,,5.7055,48.4051,,
NZr,9.51057839983864,dft,jarvis_3d,,0.6433,297.0088,,
AsGeV,2.0613675372639673,dft,jarvis_3d,,4.1382,9.9648,,
RuTa,2.3515883639583355,dft,jarvis_3d,,13.1999,9.2676,,
