jid,formula,formation_energy_per_atom,optb88vdw_bandgap,mbj_bandgap,ehull,spacegroup_number,natoms,volume,bulk_modulus_kv,shear_modulus_gv
JVASP-90856,TiCuSiAs,-0.42762,0.0,na,0.0423,,,,,
JVASP-86097,DyB6,-0.41596,0.0,na,0.0456,,,,,
JVASP-64906,Be2OsRu,0.04847,0.0,na,0.3183,,,,,
JVASP-98225,KBi,-0.4414,0.472,na,0.0,,,,,
JVASP-10,VSe2,-0.71026,0.0,0.0,0.0156,,,,,
JVASP-14014,TbMnSi,-0.45468,0.0,na,0.0817,,,,,
JVASP-64664,Ba4NaBi,0.09202,0.0,0.0,0.5443,,,,,
JVASP-22556,SrFeO3,-2.07159,0.0,na,0.1769,,,,,
JVASP-86726,LuNi4Sn,-0.42539,0.0,na,0.0,,,,,
JVASP-28634,MoW3Se2S6,-0.79449,0.689,na,0.1568,,,,,
JVASP-98550,Ba4CeMn3O12,-2.76746,1.517,na,0.0,,,,,
JVASP-89265,Fe2SiO4,-1.78124,0.0,na,0.1528,,,,,
JVASP-97915,Ba14Na14LiN6,-0.34176,0.0,na,0.0,,,,,
JVASP-90228,Ag2IO6,0.01013,0.0,na,0.2661,,,,,
JVASP-42300,Li4Mn3Cr3O12,-2.05294,0.0,na,0.094,,,,,
JVASP-86968,CdAs2O6,-1.32124,2.122,na,0.0,,,,,
JVASP-90532,FeOF,-1.66274,0.0,0.0,0.1782,,,,,
JVASP-50332,Na2CuO2,-1.21362,0.0,na,0.0494,,,,,
JVASP-86205,SmSb12Os4,-0.12737,0.0,na,0.0176,,,,,
JVASP-28704,Mo3WSe6S2,-0.68238,0.502,na,0.0824,,,,,
JVASP-60702,PdSe8Cl2,-0.15071,1.197,na,0.0016,,,,,
JVASP-97799,BaGe2,-0.62743,0.56,na,0.0,,,,,
JVASP-28565,Te2Mo2WSe2S2,-0.49933,0.051,na,0.1529,,,,,
JVASP-86436,LiSbF6,-2.61531,4.907,na,0.0,,,,,
JVASP-1372,AlAs,-0.57639,1.681,2.276,0.0071,,,,,
JVASP-14873,SrB6,-0.49796,0.016,0.256,0.0,,,,,
JVASP-28397,SiS,-0.38924,0.658,0.959,0.1222,,,,,
JVASP-98284,Ce2Al16Pt9,-1.02389,0.0,na,0.0,,,,,
JVASP-89025,Na2Si2Se5,-0.73062,2.472,na,0.0,,,,,
JVASP-1996,NaI,-1.35798,3.851,5.672,0.009,,,,,
JVASP-48166,LiMn5O3F5,-2.01511,0.482,na,0.0,,,,,
JVASP-15345,YCoC2,-0.44713,0.0,0.0,0.0,,,,,
JVASP-97378,Rb2PdI6,-0.83191,0.924,na,0.0,,,,,
JVASP-97984,TbTaO4,-3.52032,4.03,na,0.0,,,,,
JVASP-98224,Ni3Te2,-0.15005,0.0,na,0.0,,,,,
JVASP-98167,FeH8Cl2O4,-0.93989,0.239,na,0.0067,,,,,
JVASP-64045,Ba4TaZn,1.09945,0.0,na,1.2017,,,,,
JVASP-63912,Ba4CaRe,1.18903,0.0,na,1.1953,,,,,
JVASP-64003,Ba4TeSe,-0.37497,0.0,na,0.9915,,,,,
JVASP-64584,Ba4NaGe,0.35284,0.0,na,0.6607,,,,,
JVASP-64240,Ba4HgPb,0.18269,0.0,na,0.6592,,,,,
JVASP-107772,Bi3Sb,-0.00064,0.0,0.0,0.004,,,,,
JVASP-64719,Ba4YNb,0.96642,0.0,0.0,0.9664,,,,,
JVASP-97499,K4MnMo4O15,-2.24322,1.569,na,0.0,,,,,
JVASP-64377,Ba4LiHf,0.83413,0.0,0.0,0.8441,,,,,
JVASP-21210,Xe,9e-05,6.149,8.382,0.0,,,,,
JVASP-97677,Rb2GeB4O9,-2.40698,4.072,na,0.0,,,,,
JVASP-65101,BeReBi4,1.58807,0.0,0.0,1.6777,,,,,
JVASP-65062,Ca4BeW,1.23549,0.0,na,1.3639,,,,,
JVASP-97570,Na2Cr2O7,-2.01742,2.341,na,0.0,,,,,
JVASP-64983,BeCu4W,0.39528,0.0,0.0,0.5245,,,,,
JVASP-98036,Ce3Si8Ni2,-0.56642,0.0,na,0.044,,,,,
JVASP-98088,SrV4Bi6O20,-2.12573,2.644,na,0.0,,,,,
